link_id,from_node_id,to_node_id,length,geometry
876,270,373,171.8481477,"LINESTRING (-109.741319 34.2575054, -109.742465 34.257474)"
877,373,270,171.8481477,"LINESTRING (-109.742465 34.257474, -109.741319 34.2575054)"
878,374,49,288.4507029,"LINESTRING (-109.7412413 34.2545684, -109.7413044 34.2571606)"
879,49,374,288.4507029,"LINESTRING (-109.7413044 34.2571606, -109.7412413 34.2545684)"
880,49,270,38.3634835,"LINESTRING (-109.7413044 34.2571606, -109.741319 34.2575054)"
881,270,49,38.3634835,"LINESTRING (-109.741319 34.2575054, -109.7413044 34.2571606)"
882,80,79,191.3294307,"LINESTRING (-109.739981 34.250043, -109.740064 34.251762)"
883,79,80,191.3294307,"LINESTRING (-109.740064 34.251762, -109.739981 34.250043)"
884,79,374,345.7986722,"LINESTRING (-109.740064 34.251762, -109.7412413 34.2545684)"
885,374,79,345.7986722,"LINESTRING (-109.7412413 34.2545684, -109.740064 34.251762)"
886,668,369,2064.865716,"LINESTRING (-109.7511132 34.2396096, -109.7441046 34.2535989)"
887,369,668,2064.865716,"LINESTRING (-109.7441046 34.2535989, -109.7511132 34.2396096)"
888,369,374,292.1952611,"LINESTRING (-109.7441046 34.2535989, -109.7412413 34.2545684)"
889,374,369,292.1952611,"LINESTRING (-109.7412413 34.2545684, -109.7441046 34.2535989)"
890,79,15,202.7549495,"LINESTRING (-109.740064 34.251762, -109.737858 34.251763)"
891,15,79,202.7549495,"LINESTRING (-109.737858 34.251763, -109.740064 34.251762)"
892,15,156,96.32237257,"LINESTRING (-109.737858 34.251763, -109.73681 34.251763)"
893,156,15,96.32237257,"LINESTRING (-109.73681 34.251763, -109.737858 34.251763)"
894,156,17,104.0822303,"LINESTRING (-109.73681 34.251763, -109.735679 34.25181)"
895,17,156,104.0822303,"LINESTRING (-109.735679 34.25181, -109.73681 34.251763)"
896,17,375,190.598505,"LINESTRING (-109.735679 34.25181, -109.735101 34.253321)"
897,375,17,190.598505,"LINESTRING (-109.735101 34.253321, -109.735679 34.25181)"
898,756,754,520.2287853,"LINESTRING (-109.8419264 34.2850874, -109.8381131 34.2824123)"
899,754,756,520.2287853,"LINESTRING (-109.8381131 34.2824123, -109.8419264 34.2850874)"
900,754,753,409.8790094,"LINESTRING (-109.8381131 34.2824123, -109.835234 34.2799698)"
